Time (s) rumore_ambientale_candela	Light Intensity (% of scale max) rumore_ambientale_candela
0.0000000000	3.6000000000
0.0400000000	3.6000000000
0.0800000000	3.6000000000
0.1200000000	3.7000000000
0.1600000000	3.7000000000
0.2000000000	3.6000000000
0.2400000000	3.6000000000
0.2800000000	3.6000000000
0.3200000000	3.6000000000
0.3600000000	3.7000000000
0.4000000000	3.7000000000
0.4400000000	3.6000000000
0.4800000000	3.6000000000
0.5200000000	3.6000000000
0.5600000000	3.7000000000
0.6000000000	3.7000000000
0.6400000000	3.6000000000
0.6800000000	3.6000000000
0.7200000000	3.6000000000
0.7600000000	3.7000000000
0.8000000000	3.7000000000
0.8400000000	3.7000000000
0.8800000000	3.6000000000
0.9200000000	3.6000000000
0.9600000000	3.7000000000
1.0000000000	3.7000000000
1.0400000000	3.7000000000
1.0800000000	3.6000000000
1.1200000000	3.6000000000
1.1600000000	3.7000000000
1.2000000000	3.7000000000
1.2400000000	3.7000000000
1.2800000000	3.7000000000
1.3200000000	3.6000000000
1.3600000000	3.6000000000
1.4000000000	3.7000000000
1.4400000000	3.7000000000
1.4800000000	3.7000000000
1.5200000000	3.6000000000
1.5600000000	3.6000000000
1.6000000000	3.7000000000
1.6400000000	3.7000000000
1.6800000000	3.7000000000
1.7200000000	3.6000000000
1.7600000000	3.6000000000
1.8000000000	3.7000000000
1.8400000000	3.7000000000
1.8800000000	3.7000000000
1.9200000000	3.6000000000
1.9600000000	3.6000000000
2.0000000000	3.7000000000
2.0400000000	3.7000000000
2.0800000000	3.7000000000
2.1200000000	3.7000000000
2.1600000000	3.6000000000
2.2000000000	3.7000000000
2.2400000000	3.7000000000
2.2800000000	3.7000000000
2.3200000000	3.7000000000
2.3600000000	3.6000000000
2.4000000000	3.7000000000
2.4400000000	3.7000000000
2.4800000000	3.7000000000
2.5200000000	3.7000000000
2.5600000000	3.7000000000
2.6000000000	3.6000000000
2.6400000000	3.7000000000
2.6800000000	3.7000000000
2.7200000000	3.7000000000
2.7600000000	3.7000000000
2.8000000000	3.6000000000
2.8400000000	3.7000000000
2.8800000000	3.7000000000
2.9200000000	3.8000000000
2.9600000000	3.7000000000
3.0000000000	3.6000000000
3.0400000000	3.7000000000
3.0800000000	3.7000000000
3.1200000000	3.8000000000
3.1600000000	3.8000000000
3.2000000000	3.7000000000
3.2400000000	3.7000000000
3.2800000000	3.7000000000
3.3200000000	3.8000000000
3.3600000000	3.8000000000
3.4000000000	3.7000000000
3.4400000000	3.7000000000
3.4800000000	3.7000000000
3.5200000000	3.7000000000
3.5600000000	3.8000000000
3.6000000000	3.7000000000
3.6400000000	3.6000000000
3.6800000000	3.7000000000
3.7200000000	3.7000000000
3.7600000000	3.8000000000
3.8000000000	3.7000000000
3.8400000000	3.7000000000
3.8800000000	3.7000000000
